=== CONTROLE DES TROIS COMPTEURS ===
  [ok] en/conduite/ese/basse-tension-en.md   liens 5, embeds 0, code 0
      [[micropython-temporisation-en|sleep() vs ticks_ms()]]   cible intitulee : Timing delays in MicroPython
  en/embarque/mesure/analyseur-logique-en.md
      [[bus-de-communication-en|bus]]   cible intitulee : Communication buses
  en/embarque/mesure/instruments-de-mesure-en.md
      [[bus-de-communication-en|bus]]   cible intitulee : Communication buses
  en/embarque/mesure/multimetre-en.md
      [[instruments-de-mesure-en|the hub]]   cible intitulee : Measuring instruments
  en/embarque/mesure/oscilloscope-en.md
      [[bus-de-communication-en|bus]]   cible intitulee : Communication buses
  en/embarque/mesure/oscilloscope-en.md
      [[bus-de-communication-en|UART, I┬▓C or SPI]]   cible intitulee : Communication buses
  en/embarque/realisation/choisir-le-materiel-en.md
      [[decomposition-fonctionnelle-en|scoping the embedded need]]   cible intitulee : Functional breakdown
  en/embarque/realisation/choisir-le-materiel-en.md
      [[decomposition-fonctionnelle-en|scoping the embedded need]]   cible intitulee : Functional breakdown
  en/embarque/realisation/choisir-le-materiel-en.md
      [[decomposition-fonctionnelle-en|Scoping the embedded need]]   cible intitulee : Functional breakdown
  en/embarque/realisation/concevoir-l-electronique-en.md
      [[decomposition-fonctionnelle-en|scoping the embedded need]]   cible intitulee : Functional breakdown
  en/embarque/realisation/faire-communiquer-en.md
      [[cahier-des-charges-fonctionnel-en|functional requirements specification]]   cible intitulee : Cahier des charges fonctionnel
  en/embarque/realisation/fiabiliser-et-deboguer-en.md
      [[decomposition-fonctionnelle-en|scoping the embedded need]]   cible intitulee : Functional breakdown
  en/embarque/realisation/fiabiliser-et-deboguer-en.md
      [[cahier-des-charges-fonctionnel-en|functional requirements specification]]   cible intitulee : Cahier des charges fonctionnel
  en/embarque/realisation/fiabiliser-et-deboguer-en.md
      [[cable-management-en|wiring]]   cible intitulee : Cable management
  en/embarque/schema-bloc-fonctionnel-en.md
      [[microcontroleur-en|controllers]]   cible intitulee : Microcontroller
  en/embarque/schema-bloc-fonctionnel-en.md
      [[cahier-des-charges-fonctionnel-en|requirements specification]]   cible intitulee : Cahier des charges fonctionnel
  en/embarque/schema-bloc-fonctionnel-en.md
      [[cahier-des-charges-fonctionnel-en|functional requirements specification]]   cible intitulee : Cahier des charges fonctionnel
  en/embarque/schema-bloc-fonctionnel-en.md
      [[microcontroleur-en|controllers]]   cible intitulee : Microcontroller
  en/embarque/schema-bloc-fonctionnel-en.md
      [[cahier-des-charges-fonctionnel-en|Functional requirements specification]]   cible intitulee : Cahier des charges fonctionnel
  en/embarque/simulation/simulation-electronique-en.md
      [[chronogramme-en|waveform]]   cible intitulee : Timing diagram
  en/meca/comparateur-en.md
      [[precision-de-mesure-en|systematic error]]   cible intitulee : Accuracy, trueness, precision

  wikilinks a libelle   : 3504
  cible EN existante    : 3147   (le reste vise une fiche non encore traduite)
  cible EN absente      : 357
  candidats a lire      : 112
  positions de parcours : 16   (patron ┬½ step N ┬╗, exempte : designe un rang, pas un titre)
